Postcode,Month,Capacity (kW)
24XX,2013-04,1578
24XX,2013-05,1638
24XX,2013-06,1259
24XX,2013-07,1885
24XX,2013-08,2533
24XX,2013-09,2153
24XX,2013-10,2253
24XX,2013-11,2084
24XX,2013-12,2101
24XX,2014-01,1612
24XX,2014-02,1814
24XX,2014-03,2184
24XX,2014-04,1945
24XX,2014-05,2455
24XX,2014-06,2391
24XX,2014-07,2236
24XX,2014-08,2302
24XX,2014-09,2562
24XX,2014-10,2860
24XX,2014-11,2403
24XX,2014-12,2394
24XX,2015-01,2088
24XX,2015-02,2162
24XX,2015-03,2257
24XX,2015-04,1834
24XX,2015-05,2240
24XX,2015-06,2169
24XX,2015-07,2393
24XX,2015-08,2017
24XX,2015-09,1973
24XX,2015-10,2171
24XX,2015-11,1913
24XX,2015-12,1513
24XX,2016-01,1440
24XX,2016-02,1799
24XX,2016-03,1956
24XX,2016-04,1967
24XX,2016-05,1566
24XX,2016-06,1873
24XX,2016-07,1919
24XX,2016-08,2171
24XX,2016-09,2404
24XX,2016-10,1804
24XX,2016-11,2611
24XX,2016-12,3613
24XX,2017-01,1654
24XX,2017-02,2604
24XX,2017-03,3463
24XX,2017-04,2556
24XX,2017-05,4025
24XX,2017-06,3369
24XX,2017-07,4418
24XX,2017-08,4281
24XX,2017-09,3833
24XX,2017-10,4885
24XX,2017-11,6051
24XX,2017-12,6155
24XX,2018-01,4077
24XX,2018-02,4252
24XX,2018-03,5014
24XX,2018-04,5035
24XX,2018-05,6450
24XX,2018-06,5501
24XX,2018-07,5435
24XX,2018-08,7030
24XX,2018-09,6231
24XX,2018-10,6338
24XX,2018-11,7433
24XX,2018-12,7304
24XX,2019-01,4209
24XX,2019-02,5578
24XX,2019-03,6952
24XX,2019-04,6263
24XX,2019-05,8150
24XX,2019-06,7743
24XX,2019-07,9108
24XX,2019-08,7733
24XX,2019-09,8239
24XX,2019-10,9739
24XX,2019-11,9675
24XX,2019-12,10915
24XX,2020-01,6826
24XX,2020-02,7966
24XX,2020-03,10070
24XX,2020-04,9177
24XX,2020-05,9452
24XX,2020-06,10306
24XX,2020-07,11112
24XX,2020-08,9401
24XX,2020-09,11656
24XX,2020-10,11085
24XX,2020-11,11746
24XX,2020-12,11201
24XX,2021-01,6744
24XX,2021-02,9314
24XX,2021-03,10111
24XX,2021-04,9672
24XX,2021-05,9558
24XX,2021-06,10976
24XX,2021-07,9862
24XX,2021-08,8378
24XX,2021-09,9097
24XX,2021-10,8545
24XX,2021-11,9384
24XX,2021-12,9834
24XX,2022-01,4149
24XX,2022-02,6423
24XX,2022-03,5513
24XX,2022-04,6179
24XX,2022-05,6093
24XX,2022-06,8114
24XX,2022-07,7782
24XX,2022-08,9504
24XX,2022-09,8815
24XX,2022-10,7603
24XX,2022-11,9870
24XX,2022-12,6375
26XX,2007-01,4
26XX,2007-02,0
26XX,2007-03,4
26XX,2007-04,0
26XX,2007-05,6
26XX,2007-06,9
26XX,2007-07,16
26XX,2007-08,18
26XX,2007-09,28
26XX,2007-10,37
26XX,2007-11,24
26XX,2007-12,29
26XX,2008-01,47
26XX,2008-02,46
26XX,2008-03,38
26XX,2008-04,36
26XX,2008-05,40
26XX,2008-06,29
26XX,2008-07,59
26XX,2008-08,96
26XX,2008-09,64
26XX,2008-10,59
26XX,2008-11,68
26XX,2008-12,71
26XX,2009-01,46
26XX,2009-02,50
26XX,2009-03,57
26XX,2009-04,107
26XX,2009-05,107
26XX,2009-06,118
26XX,2009-07,79
26XX,2009-08,136
26XX,2009-09,196
26XX,2009-10,294
26XX,2009-11,181
26XX,2009-12,226
26XX,2010-01,191
26XX,2010-02,440
26XX,2010-03,585
26XX,2010-04,628
26XX,2010-05,784
26XX,2010-06,1217
26XX,2010-07,1013
26XX,2010-08,1034
26XX,2010-09,1063
26XX,2010-10,1169
26XX,2010-11,1316
26XX,2010-12,1286
26XX,2011-01,2530
26XX,2011-02,2635
26XX,2011-03,3132
26XX,2011-04,2817
26XX,2011-05,4091
26XX,2011-06,5393
26XX,2011-07,1255
26XX,2011-08,939
26XX,2011-09,556
26XX,2011-10,577
26XX,2011-11,525
26XX,2011-12,396
26XX,2012-01,340
26XX,2012-02,460
26XX,2012-03,562
26XX,2012-04,651
26XX,2012-05,1250
26XX,2012-06,2741
26XX,2012-07,667
26XX,2012-08,803
26XX,2012-09,771
26XX,2012-10,834
26XX,2012-11,1289
26XX,2012-12,1789
26XX,2013-01,839
26XX,2013-02,1241
26XX,2013-03,1191
26XX,2013-04,1184
26XX,2013-05,1340
26XX,2013-06,1263
26XX,2013-07,1897
26XX,2013-08,2185
26XX,2013-09,2195
26XX,2013-10,1637
26XX,2013-11,1260
26XX,2013-12,1133
26XX,2014-01,1055
26XX,2014-02,926
26XX,2014-03,1249
26XX,2014-04,812
26XX,2014-05,1347
26XX,2014-06,1165
26XX,2014-07,1206
26XX,2014-08,1560
26XX,2014-09,1863
26XX,2014-10,2183
26XX,2014-11,1661
26XX,2014-12,1312
26XX,2015-01,1619
26XX,2015-02,1641
26XX,2015-03,1759
26XX,2015-04,1227
26XX,2015-05,1435
26XX,2015-06,1712
26XX,2015-07,1907
26XX,2015-08,1556
26XX,2015-09,1495
26XX,2015-10,1483
26XX,2015-11,1303
26XX,2015-12,1380
26XX,2016-01,850
26XX,2016-02,1583
26XX,2016-03,1081
26XX,2016-04,1658
26XX,2016-05,1102
26XX,2016-06,1414
26XX,2016-07,1103
26XX,2016-08,1277
26XX,2016-09,1145
26XX,2016-10,1080
26XX,2016-11,1514
26XX,2016-12,2314
26XX,2017-01,799
26XX,2017-02,1387
26XX,2017-03,1759
26XX,2017-04,1253
26XX,2017-05,1881
26XX,2017-06,1663
26XX,2017-07,1728
26XX,2017-08,1908
26XX,2017-09,2157
26XX,2017-10,2472
26XX,2017-11,2793
26XX,2017-12,3078
26XX,2018-01,2284
26XX,2018-02,2611
26XX,2018-03,3218
26XX,2018-04,2601
26XX,2018-05,3635
26XX,2018-06,3544
26XX,2018-07,3755
26XX,2018-08,2617
26XX,2018-09,3282
26XX,2018-10,3182
26XX,2018-11,3980
26XX,2018-12,3923
26XX,2019-01,2096
26XX,2019-02,3415
26XX,2019-03,3122
26XX,2019-04,2963
26XX,2019-05,3757
26XX,2019-06,4218
26XX,2019-07,3962
26XX,2019-08,3641
26XX,2019-09,4860
26XX,2019-10,5205
26XX,2019-11,6066
26XX,2019-12,6839
26XX,2020-01,3310
26XX,2020-02,5065
26XX,2020-03,4684
26XX,2020-04,4706
26XX,2020-05,5882
26XX,2020-06,5907
26XX,2020-07,5990
26XX,2020-08,5085
26XX,2020-09,6410
26XX,2020-10,7232
26XX,2020-11,7955
26XX,2020-12,9322
26XX,2021-01,4125
26XX,2021-02,7727
26XX,2021-03,8437
26XX,2021-04,6839
26XX,2021-05,7068
26XX,2021-06,6745
26XX,2021-07,6170
26XX,2021-08,5303
26XX,2021-09,6843
26XX,2021-10,7320
26XX,2021-11,8149
26XX,2021-12,10217
26XX,2022-01,3858
26XX,2022-02,6647
26XX,2022-03,7819
26XX,2022-04,5606
26XX,2022-05,6976
26XX,2022-06,6969
26XX,2022-07,7084
26XX,2022-08,7790
26XX,2022-09,7593
26XX,2022-10,6918
26XX,2022-11,8205
26XX,2022-12,5339
25XX,2007-01,5
25XX,2007-02,10
25XX,2007-03,6
25XX,2007-04,4
25XX,2007-05,2
25XX,2007-06,7
25XX,2007-07,14
25XX,2007-08,14
25XX,2007-09,39
25XX,2007-10,38
25XX,2007-11,26
25XX,2007-12,18
25XX,2008-01,23
25XX,2008-02,33
25XX,2008-03,39
25XX,2008-04,29
25XX,2008-05,38
25XX,2008-06,20
25XX,2008-07,59
25XX,2008-08,35
25XX,2008-09,61
25XX,2008-10,44
25XX,2008-11,52
25XX,2008-12,54
25XX,2009-01,49
25XX,2009-02,67
25XX,2009-03,88
25XX,2009-04,137
25XX,2009-05,82
25XX,2009-06,88
25XX,2009-07,108
25XX,2009-08,225
25XX,2009-09,240
25XX,2009-10,376
25XX,2009-11,350
25XX,2009-12,341
25XX,2010-01,337
25XX,2010-02,494
25XX,2010-03,933
25XX,2010-04,948
25XX,2010-05,1195
25XX,2010-06,1825
